"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"128up",59.7576110463973,0.193454781307206,0.348583726992558,0.554973644284136,0.578912687769263,1
"14-3-3epsilon",10596.126452306,-0.366480131648343,0.160109501536616,-2.2889343114002,0.022083169324667,1
"14-3-3zeta",9606.65370762342,-0.0386845814585021,0.292163715548648,-0.132407206643909,0.894662214788102,1
"140up",60.3718442550509,-0.142557771202503,0.341869477990912,-0.41699473155744,0.67668226128491,1
"18SrRNA-Psi:CR41602",36473.176456733,-0.179701933932189,0.251736114411291,-0.713850431641244,0.475319671031296,1
"18SrRNA-Psi:CR45861",0,NA,NA,NA,NA,NA
"18SrRNA:CR41548",0,NA,NA,NA,NA,NA
"18SrRNA:CR45838",0,NA,NA,NA,NA,NA
"18SrRNA:CR45841",0,NA,NA,NA,NA,NA
"18w",596.362458081403,0.061573318774,0.168696908706491,0.364993758606028,0.715116065246077,1
"26-29-p",277.805986048642,0.217603826613314,0.279448104702625,0.778691366845652,0.436161542846886,1
"28SrRNA-Psi:CR40596",0,NA,NA,NA,NA,NA
"28SrRNA-Psi:CR40741",4524.63942321796,-0.0553283634845755,0.323218653443978,-0.171179363861082,0.864082733245752,1
"28SrRNA-Psi:CR41609",324.668035766029,0.516002560334441,0.500943419021405,1.03006156132853,0.302981107910629,1
"28SrRNA-Psi:CR45848",0,NA,NA,NA,NA,NA
"28SrRNA-Psi:CR45851",0,NA,NA,NA,NA,NA
"28SrRNA-Psi:CR45853",2.61016876735021,0.363443766273595,1.56644274194345,0.232018545294978,0.816523609734714,1
"28SrRNA-Psi:CR45855",3498.20790754001,0.83539540884115,0.425470281293567,1.96346359680229,0.0495923303921254,1
"28SrRNA-Psi:CR45859",5126.50184983412,0.295078623409316,0.298058115806617,0.990003652847238,0.322172333583654,1
"28SrRNA-Psi:CR45860",420.516007265737,1.4284786836335,0.612527441090635,2.33210561324408,0.0196951358322954,1
"28SrRNA-Psi:CR45862",0,NA,NA,NA,NA,NA
"28SrRNA:CR45837",0,NA,NA,NA,NA,NA
"28SrRNA:CR45844",0,NA,NA,NA,NA,NA
"2mit",2870.83986307521,0.0765202134176427,0.202391956749528,0.378079320179413,0.705371670226521,1
"2SrRNA-Psi:CR40677",6.33452766290694,-0.234019979765049,1.22772819778652,-0.19061220568768,0.848829426772217,1
"2SrRNA-Psi:CR45850",0,NA,NA,NA,NA,NA
"2SrRNA-Psi:CR45858",0.146651489262765,-0.90346227764276,4.06024140364257,-0.222514424101049,0.823913445900278,1
"2SrRNA:CR45836",0,NA,NA,NA,NA,NA
"2SrRNA:CR45840",0,NA,NA,NA,NA,NA
"2SrRNA:CR45843",0,NA,NA,NA,NA,NA
"2SrRNA:CR45864",0.146651489262765,-0.90346227764276,4.06024140364257,-0.222514424101049,0.823913445900278,1
"4E-T",941.399898511967,-0.0572491949750776,0.218745719168672,-0.261715727250111,0.793540614458212,1
"4EHP",3782.99750783366,-0.454437728542649,0.172160093831366,-2.63962291393603,0.0082998319912496,1
"5-HT1A",1389.21297491101,0.130063106024746,0.251353051825438,0.517451867324346,0.604840760640497,1
"5-HT1B",614.703515528292,0.0234620400909729,0.195640186123136,0.119924441679921,0.904543002540965,1
"5-HT2A",364.175150279525,-0.141912526316719,0.207998862451613,-0.682275492490888,0.495064766713496,1
"5-HT2B",485.684463785235,0.165168181957928,0.180742752021427,0.91383018190598,0.360806084514455,1
"5-HT7",505.404499993026,0.166209257777994,0.237629794905245,0.699446203049875,0.484273222024895,1
"5.8SrRNA-Psi:CR45849",0,NA,NA,NA,NA,NA
"5.8SrRNA-Psi:CR45854",2.7664838099261,0.426061566730056,1.3097311434769,0.325304600758751,0.744950549171635,1
"5.8SrRNA-Psi:CR45857",0.0597084195560206,-0.650467665591628,4.06788145003406,-0.159903299440101,0.872957249388489,1
"5.8SrRNA-Psi:CR45863",110.421521408157,0.650638518992967,0.537484147386811,1.2105259702194,0.226077131651574,1
"5.8SrRNA:CR40454",0,NA,NA,NA,NA,NA
"5.8SrRNA:CR45839",0,NA,NA,NA,NA,NA
"5.8SrRNA:CR45842",0,NA,NA,NA,NA,NA
"5.8SrRNA:CR45852",0,NA,NA,NA,NA,NA
"5PtaseI",245.390927391516,-0.0605004344495353,0.218874954438782,-0.276415520472247,0.782228937312288,1
"5SrRNA-Psi:CR33356",0,NA,NA,NA,NA,NA
"5SrRNA-Psi:CR33363",0,NA,NA,NA,NA,NA
"5SrRNA-Psi:CR33371",0,NA,NA,NA,NA,NA
"5SrRNA-Psi:CR33416",0,NA,NA,NA,NA,NA
"5SrRNA:CR33353",1.44948079757826,0.120794025285285,2.68626712657248,0.0449672424943871,0.964133419232916,1
"5SrRNA:CR33354",0,NA,NA,NA,NA,NA
"5SrRNA:CR33355",0,NA,NA,NA,NA,NA
"5SrRNA:CR33357",0,NA,NA,NA,NA,NA
"5SrRNA:CR33358",0,NA,NA,NA,NA,NA
"5SrRNA:CR33359",0,NA,NA,NA,NA,NA
"5SrRNA:CR33360",0,NA,NA,NA,NA,NA
"5SrRNA:CR33361",0,NA,NA,NA,NA,NA
"5SrRNA:CR33362",0,NA,NA,NA,NA,NA
"5SrRNA:CR33364",0,NA,NA,NA,NA,NA
"5SrRNA:CR33365",0,NA,NA,NA,NA,NA
"5SrRNA:CR33366",0,NA,NA,NA,NA,NA
"5SrRNA:CR33367",0,NA,NA,NA,NA,NA
"5SrRNA:CR33368",0,NA,NA,NA,NA,NA
"5SrRNA:CR33369",0.126705053190014,0,4.08045587180832,0,1,1
"5SrRNA:CR33370",0,NA,NA,NA,NA,NA
"5SrRNA:CR33372",0,NA,NA,NA,NA,NA
"5SrRNA:CR33373",0,NA,NA,NA,NA,NA
"5SrRNA:CR33374",0,NA,NA,NA,NA,NA
"5SrRNA:CR33375",0,NA,NA,NA,NA,NA
"5SrRNA:CR33376",0,NA,NA,NA,NA,NA
"5SrRNA:CR33377",0,NA,NA,NA,NA,NA
"5SrRNA:CR33378",0,NA,NA,NA,NA,NA
"5SrRNA:CR33379",0,NA,NA,NA,NA,NA
"5SrRNA:CR33380",0,NA,NA,NA,NA,NA
"5SrRNA:CR33381",0,NA,NA,NA,NA,NA
"5SrRNA:CR33382",0,NA,NA,NA,NA,NA
"5SrRNA:CR33383",0,NA,NA,NA,NA,NA
"5SrRNA:CR33384",0,NA,NA,NA,NA,NA
"5SrRNA:CR33385",0,NA,NA,NA,NA,NA
"5SrRNA:CR33386",0,NA,NA,NA,NA,NA
"5SrRNA:CR33387",0,NA,NA,NA,NA,NA
"5SrRNA:CR33388",0,NA,NA,NA,NA,NA
"5SrRNA:CR33389",0,NA,NA,NA,NA,NA
"5SrRNA:CR33390",0,NA,NA,NA,NA,NA
"5SrRNA:CR33391",0,NA,NA,NA,NA,NA
"5SrRNA:CR33392",0,NA,NA,NA,NA,NA
"5SrRNA:CR33393",0,NA,NA,NA,NA,NA
"5SrRNA:CR33394",0,NA,NA,NA,NA,NA
"5SrRNA:CR33395",0,NA,NA,NA,NA,NA
"5SrRNA:CR33396",0,NA,NA,NA,NA,NA
"5SrRNA:CR33397",0,NA,NA,NA,NA,NA
"5SrRNA:CR33398",0,NA,NA,NA,NA,NA
"5SrRNA:CR33399",0,NA,NA,NA,NA,NA
"5SrRNA:CR33400",0,NA,NA,NA,NA,NA
"5SrRNA:CR33401",0,NA,NA,NA,NA,NA
"5SrRNA:CR33402",0,NA,NA,NA,NA,NA
"5SrRNA:CR33403",0,NA,NA,NA,NA,NA
"5SrRNA:CR33404",0,NA,NA,NA,NA,NA
"5SrRNA:CR33405",0,NA,NA,NA,NA,NA
"5SrRNA:CR33406",0,NA,NA,NA,NA,NA
"5SrRNA:CR33407",0,NA,NA,NA,NA,NA
"5SrRNA:CR33408",0,NA,NA,NA,NA,NA
"5SrRNA:CR33409",0,NA,NA,NA,NA,NA
"5SrRNA:CR33410",0,NA,NA,NA,NA,NA
"5SrRNA:CR33411",0,NA,NA,NA,NA,NA
"5SrRNA:CR33412",0,NA,NA,NA,NA,NA
"5SrRNA:CR33413",0,NA,NA,NA,NA,NA
"5SrRNA:CR33414",0,NA,NA,NA,NA,NA
"5SrRNA:CR33415",0,NA,NA,NA,NA,NA
"5SrRNA:CR33417",0,NA,NA,NA,NA,NA
"5SrRNA:CR33418",0,NA,NA,NA,NA,NA
"5SrRNA:CR33419",0,NA,NA,NA,NA,NA
"5SrRNA:CR33420",0,NA,NA,NA,NA,NA
